id,name,organization,primary_contact,username,user_id,historical_quoted_retail_usd,target_wholesale_usd,vetting_status,notes
CP-01,Crypto Panda Global,Crypto Panda,Erik Berlin,Desmond_CM,7246462984,650,380,Tier-1 (Anchor Partner),Most frequent outreach. Official Binance Live channel #23559312. Bundles 2 AMAs + 6 months post sharing.
CP-02,Crypto Panda Promotions Unit,Crypto Panda,Dustin Anderson,Dustin_Andersonic,1286099943,400,250,Tier-1 (Alternate Contact),Head of promotions at Crypto Panda. Offered $400 partnership package previously.
CP-03,Crypto Panda Marketing Desk,Crypto Panda,Husayen Sheikh,Husayen_cp,6956060166,500,300,Tier-1 (Alternate Contact),Discounted a $700 combo down to $500. Highly responsive to negotiation.
CFI-01,CryptoFi Global Community,CryptoFi,PAULO || ASTRONAUT,Paulo_Astro,7179503467,550,320,Tier-1 (Anchor Partner),"1,500+ project portfolio claimed. Strong presence across Europe and Asia."
CS-01,Crypto Solution Network,Crypto Solution,MOSXKO Admin,Uhffvjjlog,5763302447,300,180,Tier-2 (Budget/High Margin Partner),Best price-performance ratio. Full service package priced at only $300 retail.
VC-01,ValenceCrypto Ecosystem,ValenceCrypto,MR. Alpha || Coo,Alpha_Coo,7135934074,800,450,Tier-1 (Multi-Exchange Specialist),Access to KuCoin Live and Gate.io Live in addition to Binance Live. Ideal for higher tier packages.
TP-01,TrafficPlaza Growth Agency,TrafficPlaza,Joseph Pray,TrafficPlaza,2061282089,350,200,Tier-1 (TMA Traffic Specialist),Essential for TMA game clients wanting active daily users and wallet connections.
EW-01,Evan Weston Promotions,Independent,Evan Weston,Evan_Weston,7612649987,450,270,Tier-2 (Syndicate Contributor),Good for overflow syndication and additional Space listeners.
SA-01,Spectre Shill Army,The Spectre Shill Army,Ghost Guy 🥷🏿🀄️,theghostguy1,7436839903,250,150,Tier-3 (Social Raid Specialist),Use for viral raid bursts during client AMAs to push engagement algorithms.
CQ-01,Crypto Queen Media,Crypto Queen,Emma,None,7686100786,600,350,Tier-2 (Video / YouTube Partner),Adds high-authority video review content to complement live AMAs.
ONTON-01,ONTON Announcements (EN),ONTON Core,ONTON Admin,ontonlive,7013087032,300,0,Owned Channel (Core),Primary English announcement channel for all event and token launches.
ONTON-02,ONTON Events Feed,ONTON Core,ONTON Admin,onton_events,7013087032,200,0,Owned Channel (Core),Dedicated event broadcast channel. Direct RSVP feed.
ONTON-03,ONTON | Новости (RU),ONTON Core,ONTON Admin,ontonlive_ru,7013087032,150,0,Owned Channel (Regional),Key regional channel for CIS/Russian-speaking participants.
ONTON-04,ONTON Farsi (FA),ONTON Core,ONTON Admin,ontonlive_fa,7013087032,100,0,Owned Channel (Regional),Regional channel for Iranian / Persian Web3 developers and users.
OP-01,TON Persian Founders,TON Persian Founders,Zoobin,,-1002294766987,0,0,Ecosystem Partner (Active Chat),Last contact: Zoobin (2026-06-13 08:52): و همه چیو دارم تجربی یاد میگیرم و میتونم اشتباه زیاد داشته باشم...
OP-02,Folk,Folk,Muaz,,-1002683405579,0,0,Ecosystem Partner (Active Chat),Last contact: Muaz (2026-06-10 18:05): @Thequails can you drop me a DM// currently I am working with another project.. ...
OP-03,Tonalytics,Tonalytics,Behindthemask 💎🥷🏽,,-1002668690877,0,0,Ecosystem Partner (Active Chat),Last contact: Behindthemask 💎🥷🏽 (2026-06-10 14:18): Hi @alexgoreninov @Goreninoff  meet @MuazXinthix...
OP-04,Bazaar Bridge,Bazaar Bridge,Behindthemask 💎🥷🏽,,-1002617665925,0,0,Ecosystem Partner (Active Chat),Last contact: Behindthemask 💎🥷🏽 (2025-04-03 16:18): ill be needing this asap so i can send to the designers to commence actions on  ...
OP-05,bcoinpartners ONTON,bcoinpartners ONTON,Fedor 2048 |,,-4995442386,0,0,Ecosystem Partner (Active Chat),"Last contact: Fedor 2048 | (2025-12-12 11:29): Also we have an agency https://t.me/agncy2048

We are interested in any traffic/..."
OP-06,BEETON,BEETON,Крипто,,-4675583892,0,0,Ecosystem Partner (Active Chat),"Last contact: Крипто (2025-10-22 13:00): коллеги, вы поможете решить проблему? время идет - никаких движений нет..."
OP-07,BeWhale,BeWhale,Babak,,-1002409393626,0,0,Ecosystem Partner (Active Chat),"Last contact: Babak (2025-10-01 11:57): Hi @Mfarimani 
I think Vadim has not received ONIONs as partner for the NFT camp..."
OP-08,ONton x GVWS,ONton x GVWS,Grishka,,-1002585599554,0,0,Ecosystem Partner (Active Chat),"Last contact: Grishka (2025-09-30 12:43): @Behindthe_mask1 hey! 
How we can claim our onion?..."
OP-09,[C] Hubz,[C] Hubz,Mahdi,,-1002633996193,0,0,Ecosystem Partner (Active Chat),Last contact: Mahdi (2025-09-03 10:29): Done...
OP-10,LEGBO,LEGBO,Babak,,-4724505295,0,0,Ecosystem Partner (Active Chat),Last contact: Babak (2025-08-25 14:07): whats up...
OP-11,Your Premium | Your Notcoin,Your Premium | Your Notcoin,Babak,,-4786297285,0,0,Ecosystem Partner (Active Chat),Last contact: Babak (2025-08-23 12:08): Bro 😂😂...
OP-12,FOLLOWDRAGONS/BITJAM,FOLLOWDRAGONS/BITJAM,龙💎FollowDragons,,-4726046707,0,0,Ecosystem Partner (Active Chat),Last contact: 龙💎FollowDragons (2025-08-22 14:47): ❤️‍🔥 We listed $ONIT in our Holdzilla wallet as part of our Onton support initia...
